metabolite	ISO.1	ISO.2	ISO.3	ISO.4	ISO.5	PDL1.LAG3.1	PDL1.LAG3.2	PDL1.LAG3.4	PDL1.LAG3.5	PDL1.LAG3.6	TH1.1	TH1.2	TH1.3	TH1.4	TH1.5	TH1.PDL1_LAG3.1	TH1.PDL1_LAG3.2	TH1.PDL1_LAG3.3	TH1.PDL1_LAG3.4	TH1.PDL1_LAG3.5
C14:2	-3.29914	-3.37063	-3.53732	-3.56532	-3.49937	-3.3159	-3.12338	-3.02636	-3.26466	-3.78815	-2.32965	-3.04386	-2.18586	-3.13245	-3.61919	-3.15963	-3.12025	-3.32438	-3.25459	-3.13445
C14:2-OH	-2.83971	-2.89928	-2.7979	-3.06297	-2.96124	-2.84882	-2.28451	-2.71028	-2.92127	-2.79197	-2.77082	-2.46891	-2.60821	-2.51301	-3.11298	-1.68679	-2.32907	-2.8857	-2.34943	-2.52874
C16	-1.12922	-0.517119	-0.853477	-0.740961	-0.98845	-1.53003	-0.865573	-0.0456241	-0.0527548	-0.697139	-1.3748	-1.22312	-1.35069	-0.023646	-1.08343	-0.114103	-0.142826	-0.174147	0.807855	-0.0526849
C16-OH	-2.44116	-2.1298	-2.5102	-2.4919	-2.56725	-2.29099	-2.28451	-2.40837	-1.89359	-2.64321	-2.32965	-2.41734	-2.31319	-2.30905	-2.69458	-2.27699	-2.19811	-2.36179	-2.11115	-2.10575
C16:1	-1.68443	-1.65482	-1.71878	-1.74455	-1.80977	-1.53003	-1.62882	-1.18679	-1.28286	-1.66835	-1.54344	-1.74455	-1.76699	-1.20979	-1.74455	-1.20859	-1.23503	-1.51858	-1.17339	-1.14656
C16:1-OH	-3.05122	-3.04035	-3.29649	-3.21136	-3.16849	-2.84882	-2.97756	-2.45424	-2.57789	-3.35344	-2.64586	-3.30239	-2.55459	-2.55816	-3.1851	-2.72763	-2.63745	-3.01772	-2.69917	-2.65765
C16:2	-2.83971	-2.89928	-3.15526	-3.06297	-3.24455	-2.98939	-2.72524	-2.71028	-2.77461	-2.95698	-2.53177	-2.89445	-2.78241	-2.7572	-3.11298	-2.58451	-2.75848	-2.60023	-2.91178	-2.65765
C16:2-OH	-2.54426	-2.89928	-2.7979	-2.53965	-2.66955	-2.78306	-2.5119	-2.45424	-2.7062	-3.01625	-2.37733	-2.96719	-2.0321	-2.34725	-2.64423	-2.45386	-1.93493	-2.31846	-2.4569	-2.30152
C18	-2.21168	-1.49019	-2.30689	-2.19653	-2.29689	-2.71998	-2.41642	-2.05339	-1.81663	-2.42383	-2.00013	-2.63592	-2.26946	-1.89675	-2.54891	-2.22238	-2.04142	-2.27639	-1.34421	-1.64207
C18:1	-1.74455	-1.38981	-1.50503	-1.33938	-1.64172	-1.74455	-1.43426	-0.602108	-0.887304	-1.5958	-1.82961	-2.14202	-2.06901	-0.814472	-1.74455	-1.02869	-1.10093	-1.29136	-0.474618	-1.10084
C18:1-OH	-1.77558	-1.62608	-1.74455	-1.63821	-1.61548	-1.84647	-1.57755	-1.13302	-1.51125	-1.57237	-2.15457	-2.06097	-1.76699	-1.87005	-2.54891	-1.80386	-2.28397	-1.94429	-1.56776	-1.97485
C18:2	-2.49179	-2.59616	-2.7459	-2.23512	-2.61752	-2.98939	-2.72524	-2.1998	-1.89359	-2.84499	-2.90897	-2.82527	-2.78241	-2.23601	-2.80135	-2.11878	-2.24035	-2.5493	-1.98496	-2.15222
Ala	10.2126	10.6851	10.5432	10.5573	10.2935	10.8804	10.4734	10.892	10.7304	10.3944	10.7297	10.1751	9.88639	10.3723	9.60864	10.6354	10.7165	10.9968	10.7893	10.4448
Arg	6.66614	6.62335	7.65439	6.46623	6.75938	8.65651	7.55807	7.21845	8.16	7.6109	6.60798	6.55946	6.53643	6.88748	5.99809	6.37096	6.98126	6.387	7.52868	7.42648
Asn	6.43069	7.19134	6.79977	6.1659	6.5432	6.17543	6.08274	6.47071	6.35921	6.22026	6.0924	6.27115	6.64774	6.81075	5.8568	6.30376	7.06223	6.63995	6.84274	6.27186
Asp	9.68885	11.4145	11.0242	9.44966	10.2162	11.3508	9.7278	10.0597	10.9152	10.2559	9.64732	9.70695	10.0315	10.1387	9.4856	9.44239	10.5196	9.9306	10.9711	9.85247
Cit	5.96277	6.08653	6.03539	5.92144	5.81376	6.40412	6.53134	5.82063	6.12238	5.94907	6.07943	5.69736	5.43339	5.71035	5.25566	5.57193	5.90964	6.53696	6.08943	5.49218
Gln	9.74059	8.98759	9.88299	8.30955	9.00308	10.5513	9.59846	9.57894	9.72633	9.5429	9.15209	8.80195	9.55135	9.74566	8.45469	9.37223	9.80762	9.656	10.4938	10.5755
Glu	10.7838	10.5888	11.1294	10.2972	10.4841	11.9122	10.8073	11.1748	11.3301	10.9783	11.0002	10.7657	10.5067	11.2463	10.2077	10.7395	11.7192	11.448	12.1693	11.2
Gly	11.2095	11.0341	11.0967	10.5677	10.7638	11.2783	10.8719	10.9145	11.1681	10.8665	11.3211	10.4315	10.8613	11.0094	10.0808	11.1711	11.5841	11.5671	11.3827	12.4047
His	6.86831	6.42929	7.17725	6.10426	6.51168	6.91026	7.05674	7.09412	6.38595	6.71639	6.66987	6.18895	7.21804	6.78012	6.09517	6.54408	7.06223	6.49176	7.00283	7.30898
Ile	5.82277	6.41183	6.16979	5.15346	5.80059	7.14979	6.46281	6.64918	6.36281	6.28939	5.20932	5.53489	4.41427	5.84667	4.74894	5.55153	5.91277	6.15124	6.5567	6.3614
Leu	7.424	7.2598	7.25372	6.52046	7.0039	8.14594	7.55807	7.76912	7.51426	7.54515	7.11994	7.03138	6.3974	7.30395	6.30462	7.42094	7.71143	7.28827	7.87602	7.95491
Lys	8.80505	8.0975	8.76639	7.72625	8.32657	9.82943	9.33342	8.72866	9.12948	9.01875	7.81588	7.86084	7.94263	8.52141	7.31808	7.78784	8.33559	8.1519	8.86358	9.2499
Met	5.91956	5.76555	5.99258	5.5978	5.74664	5.81692	5.84627	6.5082	5.99321	5.8187	6.81	5.48032	5.53982	5.92716	5.30404	6.21065	6.55383	6.78925	6.19634	6.86329
Orn	6.23347	5.74298	6.32815	6.36583	6.16037	6.77549	6.71176	6.32082	6.49673	6.3006	6.38364	6.13976	6.08126	6.29098	5.5675	6.03776	6.38217	6.21948	5.94012	7.04387
Phe	6.2797	6.44654	6.70411	5.76916	6.17057	6.92456	6.37222	6.5082	6.55162	6.27809	6.28542	5.84012	6.27336	6.04522	5.45971	6.17768	6.62305	6.48255	6.87307	6.94922
Pro	8.2347	8.41979	7.90308	7.81427	7.90995	8.44642	7.79339	8.13463	8.19291	7.90554	8.17174	7.33757	7.11223	7.82583	6.98521	7.92409	7.99513	8.16052	7.79392	8.40613
Ser	8.06845	8.13864	7.97754	7.63219	7.80624	7.94158	7.55807	7.874	7.92683	7.53551	7.92887	7.28249	7.99346	7.95759	7.1312	7.83114	8.45681	8.32544	8.40836	9.03914
Thr	7.25585	8.2246	8.04115	7.61138	7.677	8.03644	7.68617	7.72175	8.27738	7.7635	6.95916	6.31608	8.0789	7.28226	6.85774	7.41385	7.63588	7.70963	8.18094	7.15777
Trp	6.41007	5.4102	5.44837	5.46077	5.56955	5.87295	5.66298	6.08102	5.50809	5.52488	5.29247	5.41112	6.32237	5.61638	5.08782	5.25015	5.92214	5.53136	5.71744	5.91239
Tyr	6.84551	6.55371	7.04753	6.93576	6.7392	6.74392	6.96112	6.58918	6.58457	6.47923	7.30978	5.88868	6.80659	5.68412	5.90255	6.64415	6.61336	6.82608	6.71196	7.12071
Val	7.61982	7.60822	7.81621	7.26944	7.44335	8.51083	7.85405	8.04751	7.84731	7.74264	7.37501	7.26554	6.89267	7.52696	6.58757	7.66163	8.08347	7.961	8.134	8.37825
Ac-Orn	4.27937	3.28334	3.26227	4.09368	3.69387	2.87738	4.567	4.25558	2.68393	3.64518	4.25416	4.23553	3.74118	4.10971	3.69773	3.89231	4.34911	4.62872	3.12966	4.70634
ADMA	1.68668	1.28288	1.08097	1.3331	1.20463	1.44552	1.49466	1.69659	1.21871	1.32194	1.11934	1.45801	0.987814	1.2777	0.826061	1.33147	1.52853	1.5511	1.28948	0.627016
alpha-AAA	4.64613	3.5069	3.67755	5.13713	4.46161	3.40386	4.20061	4.22917	3.6294	3.52547	4.35204	4.40142	4.6607	4.75135	4.00273	4.40887	4.68489	4.24878	3.71641	4.617
Carnosine	-0.180202	-0.477292	-0.743662	-0.714133	-0.499287	-0.517305	-0.463679	-0.434859	-0.694698	-0.710222	-1.2254	-0.946523	-1.06557	-0.920435	-1.31747	-0.502816	-0.473371	-1.40053	-0.722064	-0.518794
Creatinine	3.53039	2.80945	2.91825	3.58849	3.20886	3.2687	3.47433	3.2267	2.22699	3.26103	3.99795	3.49895	2.74802	3.29445	3.0052	4.07386	3.41537	3.28182	3.1915	2.53465
Histamine	2.50259	2.25234	2.44547	2.47114	2.15375	3.54038	2.70182	2.13028	3.54129	2.46176	2.13332	1.7521	2.16544	1.82475	1.42394	1.77444	1.87281	1.79	2.20471	2.02939
Kynurenine	0.391706	-0.128788	-0.330659	-1.04176	0.434636	-0.080231	0.256849	-0.0694312	-0.00576336	0.576333	0.57295	0	0.538296	0.548204	0.803226	0.782817	1.02643	1.04339	1.28948	1.44992
Met-SO	0.894505	1.29694	1.62439	0.585893	1.25626	0.358349	1.47722	1.61834	0.858975	0.296618	1.95506	0.662279	0.992082	1.70044	0.455175	1.22904	1.75263	2.02199	0.273435	1.84824
Putrescine	1.40564	4.09574	1.79818	1.24826	2.54467	1.8974	2.02016	1.56093	1.93936	1.57378	1.60399	2.30491	0.961926	1.51287	1.41663	2.04006	2.06578	1.78265	2.84186	1.52588
Sarcosine	3.49907	4.16393	3.78949	3.7282	3.95352	4.57215	3.71184	3.88489	4.04815	4.16432	3.46579	3.5069	3.66043	4.04522	3.48066	3.57867	3.93731	4.23553	4.56006	3.43068
SDMA	-2.01374	-2.54233	-1.03515	-3.13521	-2.33866	-1.99374	-1.20481	-1.0645	-2.01676	-1.25861	-1.92924	-1.40935	-2.40489	-2.38666	-2.05486	-2.51776	-1.45362	-1.24989	-1.62948	-4.02524
Serotonin	-0.530958	4.95919	-0.691663	1.42952	3.00105	0.249634	0.748003	-0.34361	-0.6767	-0.10191	-1.79801	-1.11803	-1.35069	-1.42993	-1.49298	-2.06954	-1.77445	-1.54339	-1.31854	-2.79948
Spermidine	4.22793	4.46931	4.26369	3.29985	4.49221	3.62154	3.60461	4.18405	3.5069	3.8353	3.4091	3.98116	3.15876	3.48883	3.71584	3.58864	3.92523	3.98932	4.11901	3.0497
Spermine	0.342408	1.13777	0.524483	0.311717	0.972582	1.06195	0.317648	0.301945	0.858975	0.152145	0.351102	0.662279	0.222967	0.148597	0	0.705154	0.220028	0.468631	0.847999	0.603684
t4-OH-Pro	5.48172	4.92628	4.43363	5.22549	4.82585	4.33783	4.75101	5.33896	4.71681	4.65364	5.4497	4.86677	4.66697	5.31511	4.26073	5.25645	5.37132	5.66987	4.46753	5.66827
lysoPC a C14:0	4.14462	4.03381	3.92291	3.71795	3.79696	4.63921	3.9153	3.9347	4.50264	3.92748	4.00891	4.15735	3.8954	3.6601	3.57369	4.42012	4.08597	3.95736	4.67761	4.68887
lysoPC a C16:0	5.62335	5.3717	5.78812	5.19958	5.26981	6.45077	5.66913	5.7769	6.12867	5.66025	5.5805	5.37522	5.38546	5.39652	4.87154	6.07403	6.02292	5.64023	6.18017	6.26757
lysoPC a C16:1	-0.889752	0.135568	0	-0.587162	-0.347964	0.322928	0.0885237	-0.10184	0.707859	0.130301	-0.0775044	-0.0659654	-0.471125	-0.0723334	-0.517255	0	0.173904	-0.274968	-0.100706	-0.285514
lysoPC a C17:0	-0.24386	-0.213998	-0.26218	-0.383998	-0.487082	-0.233111	-0.387077	-0.286027	-0.138608	-0.513379	-0.421511	-0.570354	-0.354595	-0.463007	-0.42055	0	0.0261405	-0.328132	-0.378358	-0.248056
lysoPC a C18:0	4.46842	4.34266	4.4129	3.70242	4.00682	5.06608	4.34783	4.44737	4.82836	4.26985	3.89547	3.94665	3.92749	4.02864	3.60821	4.50178	4.45434	4.10562	4.81466	4.68301
lysoPC a C18:1	2.26866	2.64738	3.18817	2.35504	2.48545	3.44226	3.07959	3.19083	3.61866	3.04394	2.71142	2.69673	2.182	2.62743	2.31872	3.16471	3.14252	2.58407	3.30843	3.14615
lysoPC a C18:2	2.93376	2.60713	3.19764	2.90598	2.73362	3.7095	3.03139	3.29589	3.55259	3.12313	2.61455	2.79141	2.41415	2.60523	2.24106	2.936	3.13215	2.65263	3.36382	3.14615
lysoPC a C20:3	-0.453652	0.0264477	-0.116608	-0.134237	-0.627197	0.631334	0.134392	0.34765	0.0171118	-0.0165149	-0.306513	-0.155553	-0.598072	-0.288771	-0.106205	0.0349542	0.18944	-0.537471	-0.134046	-0.164323
lysoPC a C20:4	3.13098	2.57964	3.23491	3.04743	2.86836	3.19657	3.23223	3.71168	3.26903	3.30427	2.81471	2.7516	2.4539	2.76393	2.42747	3.19108	3.20329	2.61189	3.16088	3.11624
lysoPC a C24:0	-1.27677	-1.74455	-2.60003	-1.69038	-1.61548	-1.74455	-1.98411	-1.85977	-2.06011	-1.74455	-1.33035	-1.59515	-1.79755	-1.58778	-1.39264	-1.32197	-1.40693	-1.56863	-1.79636	-1.40028
lysoPC a C26:0	-2.90683	-2.21205	-3.02632	-2.35767	-2.66955	-2.43826	-2.78414	-2.65505	-1.85463	-2.38353	-2.23919	-2.41734	-2.50292	-1.92403	-2.59572	-1.8873	-2.63745	-2.11935	-2.76663	-2.52874
lysoPC a C26:1	-1.77558	-1.59789	-1.96865	-2.01801	-1.02294	-2.65938	-1.76596	-1.71722	-1.81663	-1.82481	-1.54344	-1.71339	-1.32832	-1.46755	-1.57907	-1.29281	-1.83634	-2.15705	-1.69395	-1.78043
lysoPC a C28:0	-1.94159	-2.01441	-2.30689	-1.88988	-1.80977	-1.71202	-2.05332	-1.89018	-2.3495	-2.162	-1.79801	-1.80902	-1.51805	-2.16702	-2.15371	-2.02186	-2.15717	-2.31846	-2.06786	-1.78043
lysoPC a C28:1	-2.16986	-2.29915	-2.19707	-2.27479	-1.80977	-2.84882	-2.20308	-2.23902	-2.19801	-1.93891	-2.15457	-2.22799	-1.9268	-1.74455	-1.82228	-2.27699	-2.00497	-2.31846	-2.40217	-1.97485
PC aa C24:0	-2.49179	-2.59616	-3.22419	-2.69345	-2.38165	-2.71998	-2.3271	-2.12461	-2.24687	-2.5078	-2.23919	-2.52242	-2.55459	-2.23601	-2.45995	-2.22238	-2.42414	-2.60023	-2.76663	-2.52874
PC aa C26:0	0.884724	0.921773	0.759958	0.720985	0.93059	1.11185	0.842509	0.773566	1.23925	0.825155	0.815784	0.91748	1.02993	0.589492	0.653234	1.39144	0.845289	0.863788	1.25404	1.1972
PC aa C28:1	-1.94159	-1.68413	-2.23278	-2.08672	-1.90152	-1.84647	-1.79509	-1.85977	-1.77955	-1.82481	-1.86199	-1.94747	-2.0321	-1.79324	-1.82228	-1.64971	-2.15717	-2.11935	-1.94523	-1.70956
PC aa C30:0	0.69056	1.43657	1.43072	0.683728	1.00529	1.8637	1.08564	0.861915	1.50549	1.18858	0.680493	1.40366	0.745835	0.85328	0.906653	0.830158	0.879491	0.918723	1.39131	1.27583
PC aa C32:0	5.14297	4.26651	5.41463	4.80163	4.47529	5.71994	4.89024	4.7654	5.53913	4.93832	5.02982	5.24546	4.49778	4.71295	4.56932	4.82334	4.76921	4.7421	5.55758	5.74496
PC aa C32:1	3.42598	4.33091	4.40032	3.6972	3.8722	4.70928	3.84514	3.8157	4.42191	4.14998	3.89547	3.94082	3.595	4.00764	3.74697	3.5069	3.8248	3.76142	4.01398	3.98457
PC aa C32:2	-0.0703237	1.02761	0.695665	0.324051	0.476503	0.975145	0.263735	0.0879323	0.671329	0.481171	0.0472639	0.372807	0.0918534	0.442004	0.252329	-0.195291	0	0.249825	-0.168171	-0.0852629
PC aa C32:3	-2.54426	-0.517119	-2.55443	-2.08672	-1.75161	-2.3876	-2.16409	-2.32105	-2.06011	-2.03052	-2.1962	-2.14202	-2.31319	-1.84392	-2.22394	-2.58451	-2.75848	-2.23551	-2.4569	-2.72679
PC aa C34:1	6.8301	6.70397	7.33824	6.72961	6.62638	7.75854	6.74812	6.93072	7.35394	7.05382	6.90869	7.07751	6.59319	6.94384	6.63036	6.76026	6.77871	6.6888	7.19805	7.3419
PC aa C34:2	7.86915	6.46358	7.24749	7.63808	7.15782	7.46288	6.73369	7.15465	6.8852	7.27728	7.66749	7.49109	7.82852	7.42373	7.32125	7.42094	7.52521	7.70176	7.31606	8.01271
PC aa C34:3	3.14118	2.63409	2.74975	3.03901	2.80261	2.59828	2.61253	2.98644	2.44833	2.96026	3.51268	3.17867	3.19482	3.40136	3.28541	3.00892	3.19333	3.2201	2.5436	3.22224
PC aa C34:4	-0.222327	0.251664	0.343916	-0.0242142	-0.0393767	-0.0690746	0.0728996	0.133331	0.126482	0	-0.210059	0.269293	-0.137167	0.0858607	0.125709	-0.387882	0	-0.154797	-0.145332	-0.04199
PC aa C36:0	1.78424	1.05286	1.23297	1.42952	1.31257	0.908345	0.990022	1.00365	1.05515	1.22743	1.16687	1.09572	1.51617	1.17897	1.19409	1.23911	0.95938	1.12733	1.13721	0.781322
PC aa C36:1	3.86711	3.97408	4.60465	3.7282	3.65165	4.86689	3.81156	3.82746	4.48439	4.13065	3.6165	4.01486	3.62154	3.77392	3.53313	3.5069	3.5069	3.27316	4.01398	3.85086
PC aa C36:2	6.59492	5.60551	6.40693	6.43829	6.02055	6.52013	5.81893	6.11779	6.14943	6.24367	6.31891	6.38093	6.44234	6.19206	6.08734	6.1992	6.14824	6.30569	6.30727	6.34921
PC aa C36:3	5.9442	4.89257	5.87361	5.98185	5.52195	5.78233	5.35071	5.71434	5.34264	5.77469	6.10525	6.08881	6.0582	6.03488	5.86607	5.93111	5.96208	6.06729	5.75122	6.04154
PC aa C36:4	8.70604	7.42175	8.35688	8.40005	8.06299	8.4299	8.05376	8.37614	8.01468	8.42089	8.57064	8.41019	8.43575	8.44341	8.15597	8.50889	8.51918	8.4265	8.49747	8.78276
PC aa C36:5	3.47511	2.64738	3.27127	3.34789	2.99128	2.94964	2.97131	3.25303	2.90017	3.26978	3.78517	3.5069	3.51224	3.74883	3.54848	3.29203	3.5069	3.61868	2.92825	3.39114
PC aa C36:6	-1.74455	-1.90737	-1.74455	-1.66405	-1.96601	-2.43826	-1.82486	-1.66415	-2.15066	-1.88078	-1.79801	-1.74455	-1.73708	-1.54639	-1.57907	-2.33366	-1.77445	-1.91168	-2.20182	-1.97485
PC aa C38:0	-0.233053	-0.339798	-0.134041	-0.332402	-0.587652	0.0712512	-0.334846	-0.626056	0.296161	-0.110721	-0.596594	-0.165866	-0.206011	-0.364953	-0.497345	-0.419833	-0.473371	-0.193759	0.235064	0.121629
PC aa C38:1	-1.01374	-1.68413	-1.52731	-2.53965	-2.06831	-2.29099	-1.26371	-2.12461	-1.54234	-2.03052	-3.5547	-2.41734	-1.76699	-1.87005	-1.4723	-1.93083	-1.55221	-2.0118	-1.86888	-4.69126
PC aa C38:3	3.28606	2.2541	3.39199	3.25005	2.77999	3.52844	3.18021	3.35383	3.00669	3.32122	3.50497	3.81883	2.99423	3.54237	3.24148	3.13784	3.30854	3.27316	3.5069	3.5069
PC aa C38:4	7.48413	6.42929	7.3441	7.03055	6.77268	7.473	6.86524	7.03095	7.11016	7.17596	7.0683	7.05133	6.99782	7.09086	6.7939	7.006	7.10458	6.99725	7.37194	7.61996
PC aa C38:5	5.89597	5.19556	6.18259	5.80325	5.6065	6.164	5.72182	5.85003	5.96089	6.08444	5.97131	6.02245	5.84525	5.99275	5.80945	5.65793	5.89226	5.76295	5.888	6.25679
PC aa C38:6	4.94945	4.43689	4.65164	4.7638	4.57387	4.72633	4.2514	4.36479	4.47209	4.66045	4.52612	4.53467	4.84301	4.5277	4.47746	4.59407	4.61452	4.70423	4.73615	4.99154
PC aa C40:1	0.040435	0	0.0553699	-0.108074	-0.220786	0.122837	-0.0321907	-0.195187	0.00573225	-0.110721	-0.0039612	0.165944	0	-0.259561	-0.468026	0.399495	-0.0992037	0.00852821	0.0608096	0.163628
PC aa C40:2	-1.39225	-2.44022	-1.54994	-1.63821	-1.72337	-1.50167	-1.65518	-1.77245	-2.06011	-1.5958	-1.35239	-1.53954	-1.51805	-1.39342	-1.67111	-1.80386	-1.74455	-1.37803	-2.20182	-1.81724
